,Unnamed: 0,Unnamed: 0.1,index,season,team,description,gamestate,statF,timeF,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF90,xGA90,team_id
32,32,2,Goal diff 0,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,Goal diff 0,Goal diff 0,1933,213,18,20.331873659510165,285.0,27.0,28.29249483346939,-7.960621173959224,0.946646988802853,1.3172915338914877,78
33,33,3,Goal diff < -1,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,Goal diff < -1,Goal diff < -1,251,41,5,4.88304259860888,25.0,2.0,1.6461784914135933,3.236864107195288,1.7508917684254954,0.5902632040925235,78
34,34,4,Goal diff > +1,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,Goal diff > +1,Goal diff > +1,217,24,4,2.4600231535732746,48.0,6.0,3.3467594981193542,-0.8867363445460796,1.0202861005603443,1.3880569347038798,78
35,35,0,Goal diff +1,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,Goal diff +1,Goal diff +1,1008,142,20,18.154187468811873,126.0,11.0,10.803098543081429,7.351088925730437,1.6209095954296309,0.9645623699179852,80
36,36,1,Goal diff -1,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,Goal diff -1,Goal diff -1,169,33,6,4.328862367197871,18.0,3.0,2.6938652573153377,1.6349971098825336,2.3053113198095168,1.43460279975373,80
37,37,2,Goal diff 0,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,Goal diff 0,Goal diff 0,1741,275,37,34.54440337046981,201.0,9.0,14.737779292743651,19.80662407772616,1.7857531897428391,0.7618610777409125,80
38,38,3,Goal diff < -1,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,Goal diff < -1,Goal diff < -1,87,18,3,3.0087167881429195,8.0,3.0,0.5329141840338707,2.475802604109049,3.1124656429064683,0.5512905352074524,80
39,39,4,Goal diff > +1,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,Goal diff > +1,Goal diff > +1,562,97,7,11.875144897960125,64.0,6.0,4.039479466620834,7.835665431339294,1.9017135957587392,0.6468917295300266,80
40,40,0,Goal diff +1,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,Goal diff +1,Goal diff +1,705,104,12,11.398836349137127,129.0,7.0,11.687360292300582,-0.2885239431634545,1.4551705977621865,1.4920034415702872,81
41,41,1,Goal diff -1,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,Goal diff -1,Goal diff -1,601,87,8,6.919464823789895,92.0,10.0,11.505653116852045,-4.586188293062151,1.0361927356756913,1.7229763402939833,81
42,42,2,Goal diff 0,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,Goal diff 0,Goal diff 0,1899,237,19,23.38150257337839,295.0,23.0,30.65404880605638,-7.272546232677996,1.1081280840463688,1.4527985216140464,81
43,43,3,Goal diff < -1,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,Goal diff < -1,Goal diff < -1,173,36,4,3.1212237454019487,31.0,2.0,4.217185737565161,-1.0959619921632109,1.6237580178391642,2.193911655380719,81
44,44,4,Goal diff > +1,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,Goal diff > +1,Goal diff > +1,204,26,1,3.124450482428074,43.0,5.0,2.6691848994232714,0.4552655830048025,1.3784340363653271,1.1775815732749728,81
45,45,0,Goal diff +1,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,Goal diff +1,Goal diff +1,692,85,9,12.065228363499045,105.0,12.0,12.85521006397903,-0.7899817004799843,1.5691770992990088,1.6719203840435153,82
46,46,1,Goal diff -1,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,Goal diff -1,Goal diff -1,628,133,11,12.985994379501786,83.0,7.0,11.157395164482297,1.8285992150194943,1.8610501499286003,1.5989897528716666,82
47,47,2,Goal diff 0,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,Goal diff 0,Goal diff 0,1673,234,31,24.363653671927747,215.0,23.0,25.128632373642176,-0.7649787017144263,1.3106568024348462,1.3518092729395077,82
48,48,3,Goal diff < -1,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,Goal diff < -1,Goal diff < -1,305,38,2,1.411953205242753,42.0,5.0,5.8121297638863325,-4.40017655864358,0.4166419294158944,1.7150546844254753,82
49,49,4,Goal diff > +1,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,Goal diff > +1,Goal diff > +1,277,39,5,4.321356045082212,47.0,6.0,5.028541614301503,-0.7071855692192912,1.4040507005682274,1.6338221851521126,82
50,50,0,Goal diff +1,2014,Arsenal,Arsenal xG stats for the 2014/2015 season ,Goal diff +1,Goal diff +1,759,103,18,12.503489024937153,117.0,6.0,7.838010424748063,4.66547860018909,1.4826271571071723,0.9294083507606401,83
