,Unnamed: 0,shotzones,season,team,description,shotzones.1,statF,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
169,9,shotOboxTotal,2016,Southampton,Southampton xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,210,4,6.642509594094008,179.0,5.0,5.434351676143706,1.2081579179503024,0.03163099806711432,0.030359506570635224,74
170,10,shotPenaltyArea,2016,Southampton,Southampton xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,308,27,34.91027296241373,224.0,31.0,26.623103438876573,8.287169523537159,0.11334504208575885,0.11885314035212755,74
171,11,shotSixYardBox,2016,Southampton,Southampton xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,32,8,8.758674975484611,34.0,12.0,11.156057073734699,-2.39738209825009,0.27370859298389405,0.32811932569807944,74
172,12,ownGoals,2016,Leicester,Leicester xG stats for the 2016/2017 season ,ownGoals,ownGoals,2,2,2.0,2.0,2.0,2.0,0.0,1.0,1.0,75
173,13,shotOboxTotal,2016,Leicester,Leicester xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,183,9,6.203706442844123,233.0,5.0,6.807916639372706,-0.6042101965285838,0.03390003520679848,0.02921852634923908,75
174,14,shotPenaltyArea,2016,Leicester,Leicester xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,217,29,29.243109072558585,283.0,45.0,33.76244223024696,-4.519333157688378,0.13476087130211328,0.1193019160079398,75
175,15,shotSixYardBox,2016,Leicester,Leicester xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,33,8,9.620438354089854,37.0,11.0,11.006369238719344,-1.385930884629488,0.2915284349724199,0.2974694388843066,75
176,16,ownGoals,2016,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2016/2017 season ,ownGoals,ownGoals,0,0,0.0,1.0,1.0,1.0,-1.0,,1.0,76
177,17,shotOboxTotal,2016,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,158,6,4.539981043897568,221.0,5.0,6.883001252543181,-2.343020208645612,0.028734057239858037,0.031144802047706706,76
178,18,shotPenaltyArea,2016,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,202,25,22.43318197783083,258.0,37.0,31.31571158114821,-8.882529603317382,0.11105535632589518,0.12137872705871396,76
179,19,shotSixYardBox,2016,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,38,12,11.7728856112808,38.0,8.0,9.963282780721784,1.8096028305590155,0.3098127792442316,0.2621916521242575,76
180,20,ownGoals,2016,Sunderland,Sunderland xG stats for the 2016/2017 season ,ownGoals,ownGoals,1,1,1.0,2.0,2.0,2.0,-1.0,1.0,1.0,77
181,21,shotOboxTotal,2016,Sunderland,Sunderland xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,168,3,5.7026593619957575,277.0,6.0,10.058080851100383,-4.3554214891046295,0.033944400964260456,0.03631076119530825,77
182,22,shotPenaltyArea,2016,Sunderland,Sunderland xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,195,20,23.0229101087898,353.0,46.0,41.302137147635214,-18.279227038845423,0.11806620568610154,0.1170032213814029,77
183,23,shotSixYardBox,2016,Sunderland,Sunderland xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,24,5,5.572030292823911,45.0,15.0,14.827597595751286,-9.255567302927377,0.2321679288676629,0.329502168794473,77
184,24,ownGoals,2016,Crystal_Palace,Crystal Palace xG stats for the 2016/2017 season ,ownGoals,ownGoals,2,2,2.0,0.0,0.0,0.0,2.0,1.0,,78
185,25,shotOboxTotal,2016,Crystal_Palace,Crystal Palace xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,162,2,5.0094977458938965,202.0,11.0,6.567519748583436,-1.5580220026895404,0.030922825591937632,0.0325124740028883,78
186,26,shotPenaltyArea,2016,Crystal_Palace,Crystal Palace xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,242,33,28.916364148724824,284.0,39.0,31.82981345616281,-2.913449307437986,0.11948910805258192,0.11207680794423523,78
187,27,shotSixYardBox,2016,Crystal_Palace,Crystal Palace xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,35,13,11.676708025857804,31.0,13.0,12.173116635531187,-0.4964086096733809,0.33362022931022306,0.3926811817913286,78
188,28,ownGoals,2016,Chelsea,Chelsea xG stats for the 2016/2017 season ,ownGoals,ownGoals,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,80
189,29,shotOboxTotal,2016,Chelsea,Chelsea xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,216,12,8.319625681266189,145.0,4.0,4.54274777462706,3.776877906639129,0.038516785561417535,0.031329294997427995,80
190,30,shotPenaltyArea,2016,Chelsea,Chelsea xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,334,57,43.50933275464922,156.0,26.0,18.807547253556553,24.701785501092672,0.13026746333727313,0.12056120034331122,80
191,31,shotSixYardBox,2016,Chelsea,Chelsea xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,30,14,10.595660387538373,22.0,2.0,5.367390224710106,5.228270162828267,0.3531886795846125,0.2439722829413685,80
192,32,ownGoals,2016,West_Ham,West Ham xG stats for the 2016/2017 season ,ownGoals,ownGoals,1,1,1.0,0.0,0.0,0.0,1.0,1.0,,81
193,33,shotOboxTotal,2016,West_Ham,West Ham xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,230,6,7.383489130996168,177.0,8.0,6.169590946752577,1.2138981842435896,0.032102126656505074,0.034856446026850715,81
194,34,shotPenaltyArea,2016,West_Ham,West Ham xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,225,24,26.515379584394392,291.0,46.0,42.14678549952804,-15.631405915133655,0.11784613148619733,0.14483431443136788,81
195,35,shotSixYardBox,2016,West_Ham,West Ham xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,43,16,15.763389015570285,36.0,10.0,12.758903769776225,3.004485245794058,0.3665904422225647,0.3544139936048951,81
196,36,ownGoals,2016,Tottenham,Tottenham xG stats for the 2016/2017 season ,ownGoals,ownGoals,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,82
197,37,shotOboxTotal,2016,Tottenham,Tottenham xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,313,12,10.175832788459957,134.0,2.0,3.624275308102369,6.551557480357587,0.03251064788645353,0.02704683065748037,82
198,38,shotPenaltyArea,2016,Tottenham,Tottenham xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,310,52,42.296180669218295,195.0,14.0,21.805219228379435,20.490961440838877,0.13643929248134934,0.11182163706861244,82
199,39,shotSixYardBox,2016,Tottenham,Tottenham xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,46,20,18.571921478956934,19.0,9.0,8.832033425569533,9.739888053387405,0.4037374234555856,0.4648438645036597,82
200,40,ownGoals,2016,Arsenal,Arsenal xG stats for the 2016/2017 season ,ownGoals,ownGoals,4,4,4.0,1.0,1.0,1.0,3.0,1.0,1.0,83
201,41,shotOboxTotal,2016,Arsenal,Arsenal xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,187,7,6.3967807507142425,158.0,4.0,5.194854996167123,1.2019257545471191,0.03420738369365905,0.032878829089665336,83
202,42,shotPenaltyArea,2016,Arsenal,Arsenal xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,338,45,42.97580283507705,245.0,34.0,34.40138596110046,8.574416873976588,0.12714734566590846,0.14041382024938964,83
203,43,shotSixYardBox,2016,Arsenal,Arsenal xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,41,21,15.57994819059968,29.0,5.0,7.945528099313378,7.6344200912863025,0.3799987363560898,0.2739837275625303,83
204,44,ownGoals,2016,Swansea,Swansea xG stats for the 2016/2017 season ,ownGoals,ownGoals,0,0,0.0,5.0,5.0,5.0,-5.0,,1.0,84
205,45,shotOboxTotal,2016,Swansea,Swansea xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,158,5,4.7575073377229256,202.0,5.0,7.4389965403825045,-2.6814892026595767,0.03011080593495524,0.036826715546448036,84
206,46,shotPenaltyArea,2016,Swansea,Swansea xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,218,28,23.908730424940586,271.0,39.0,42.04172856826335,-18.132998143322766,0.10967307534376416,0.1551355297721895,84
207,47,shotSixYardBox,2016,Swansea,Swansea xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,29,12,11.165904818102717,46.0,21.0,17.320731841027733,-6.154827022925018,0.3850312006242316,0.3765376487179943,84
208,48,ownGoals,2016,Stoke,Stoke xG stats for the 2016/2017 season ,ownGoals,ownGoals,4,4,4.0,5.0,5.0,5.0,-1.0,1.0,1.0,85
209,49,shotOboxTotal,2016,Stoke,Stoke xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,161,5,4.54162636678666,218.0,8.0,7.181921201758088,-2.6402948349714284,0.02820885942103515,0.032944592668615075,85
210,50,shotPenaltyArea,2016,Stoke,Stoke xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,222,21,28.77882474381477,279.0,29.0,29.106113146990534,-0.32728840317577124,0.1296343456928593,0.10432298618993023,85
211,51,shotSixYardBox,2016,Stoke,Stoke xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,42,11,14.994815327227116,40.0,14.0,12.609710451215506,2.3851048760116096,0.3570194125530265,0.31524276128038764,85
212,52,ownGoals,2016,Liverpool,Liverpool xG stats for the 2016/2017 season ,ownGoals,ownGoals,1,1,1.0,0.0,0.0,0.0,1.0,1.0,,87
213,53,shotOboxTotal,2016,Liverpool,Liverpool xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,259,13,8.218642256222665,129.0,5.0,3.992069209460169,4.226573046762496,0.031732209483485194,0.030946272941551695,87
214,54,shotPenaltyArea,2016,Liverpool,Liverpool xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,348,53,48.217639532871544,155.0,26.0,24.328444830141958,23.889194702729586,0.13855643543928606,0.15695770858156105,87
215,55,shotSixYardBox,2016,Liverpool,Liverpool xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,31,11,10.939672481268644,26.0,11.0,10.271557822823523,0.6681146584451199,0.3528926606860853,0.3950599162624432,87
216,56,ownGoals,2016,Manchester_City,Manchester City xG stats for the 2016/2017 season ,ownGoals,ownGoals,5,5,5.0,1.0,1.0,1.0,4.0,1.0,1.0,88
217,57,shotOboxTotal,2016,Manchester_City,Manchester City xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,241,7,8.901865186169745,119.0,3.0,3.605914575513452,5.295950610656291,0.03693719994261305,0.030301803155575232,88
218,58,shotPenaltyArea,2016,Manchester_City,Manchester City xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,342,52,51.44014411792159,160.0,31.0,20.852924752980467,30.58721936494112,0.15040977812257775,0.13033077970612794,88
219,59,shotSixYardBox,2016,Manchester_City,Manchester City xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,50,16,20.29010031744837,21.0,4.0,5.6736135091632605,14.616486808285115,0.4058020063489676,0.27017207186491715,88
220,60,ownGoals,2016,Manchester_United,Manchester United xG stats for the 2016/2017 season ,ownGoals,ownGoals,0,0,0.0,1.0,1.0,1.0,-1.0,,1.0,89
221,61,shotOboxTotal,2016,Manchester_United,Manchester United xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,248,7,7.55121211707592,169.0,5.0,5.732709559611976,1.818502557463944,0.030448435955951286,0.033921358340899266,89
222,62,shotPenaltyArea,2016,Manchester_United,Manchester United xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,298,36,37.14089103229344,167.0,16.0,18.98172214999795,18.15916888229549,0.12463386252447466,0.11366300688621525,89
223,63,shotSixYardBox,2016,Manchester_United,Manchester United xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,44,11,13.973863214254381,25.0,7.0,6.974775042384863,6.999088171869516,0.3175878003239632,0.2789910016953945,89
224,64,ownGoals,2016,Watford,Watford xG stats for the 2016/2017 season ,ownGoals,ownGoals,1,1,1.0,2.0,2.0,2.0,-1.0,1.0,1.0,90
225,65,shotOboxTotal,2016,Watford,Watford xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,190,4,5.81455710157752,232.0,8.0,7.470095212105662,-1.6555381105281413,0.03060293211356589,0.032198686259076126,90
226,66,shotPenaltyArea,2016,Watford,Watford xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,210,28,22.53843499347568,274.0,47.0,36.29040969349444,-13.751974700018765,0.10732588092131276,0.13244675070618409,90
227,67,shotSixYardBox,2016,Watford,Watford xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,22,7,8.222002852708101,31.0,11.0,9.639156371355057,-1.4171535186469555,0.3737274023958228,0.31094052810822764,90
228,68,ownGoals,2016,Hull,Hull xG stats for the 2016/2017 season ,ownGoals,ownGoals,1,1,1.0,5.0,5.0,5.0,-4.0,1.0,1.0,91
229,69,shotOboxTotal,2016,Hull,Hull xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,162,4,5.126532512716949,262.0,9.0,8.228534854482861,-3.1020023417659104,0.0316452624241787,0.03140662158199565,91
230,70,shotPenaltyArea,2016,Hull,Hull xG stats for the 2016/2017 season ,shotPenaltyArea,shotPenaltyArea,207,24,21.330522410571575,329.0,50.0,48.7348891729489,-27.404366762377318,0.10304600198343757,0.1481303622278082,91
231,71,shotSixYardBox,2016,Hull,Hull xG stats for the 2016/2017 season ,shotSixYardBox,shotSixYardBox,28,8,7.681422119960189,42.0,16.0,16.033851008862257,-8.352428888902066,0.2743365042842925,0.3817583573538633,91
232,72,ownGoals,2016,Burnley,Burnley xG stats for the 2016/2017 season ,ownGoals,ownGoals,0,0,0.0,2.0,2.0,2.0,-2.0,,1.0,92
233,73,shotOboxTotal,2016,Burnley,Burnley xG stats for the 2016/2017 season ,shotOboxTotal,shotOboxTotal,179,8,5.6794299660250545,302.0,5.0,8.478145893663168,-2.7987159276381135,0.03172865902807293,0.0280733307737191,92
