,Unnamed: 0,Unnamed: 0.1,index,season,team,description,situation,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
392,92,2,OpenPlay,2017,Huddersfield,Huddersfield xG stats for the 2017/2018 season ,OpenPlay,264,20,24.01474024634809,315.0,45.0,37.22778065409511,-13.21304040774703,0.09096492517556093,0.118183430647921,219
393,93,3,Penalty,2017,Huddersfield,Huddersfield xG stats for the 2017/2018 season ,Penalty,2,2,1.522300899028778,6.0,4.0,4.5669394731521615,-3.0446385741233826,0.761150449514389,0.7611565788586935,219
394,94,4,SetPiece,2017,Huddersfield,Huddersfield xG stats for the 2017/2018 season ,SetPiece,22,1,1.4023552490398288,21.0,3.0,3.69872734323144,-2.296372094191611,0.06374342041090131,0.1761298734872114,219
395,95,0,DirectFreekick,2017,Brighton,Brighton xG stats for the 2017/2018 season ,DirectFreekick,4,0,0.3796936459839344,34.0,1.0,2.3412988763302565,-1.9616052303463216,0.0949234114959836,0.06886173165677224,220
396,96,1,FromCorner,2017,Brighton,Brighton xG stats for the 2017/2018 season ,FromCorner,73,3,5.591255589388312,104.0,16.0,12.69387209508568,-7.10261650569737,0.07659254232038783,0.12205646245274693,220
397,97,2,OpenPlay,2017,Brighton,Brighton xG stats for the 2017/2018 season ,OpenPlay,269,24,24.0071823336184,384.0,31.0,38.89370389841497,-14.886521564796569,0.08924603097999406,0.10128568723545564,220
398,98,3,Penalty,2017,Brighton,Brighton xG stats for the 2017/2018 season ,Penalty,7,5,5.328181862831117,3.0,1.0,2.2835065126419067,3.044675350189209,0.7611688375473022,0.7611688375473022,220
399,99,4,SetPiece,2017,Brighton,Brighton xG stats for the 2017/2018 season ,SetPiece,30,2,3.147204325534404,34.0,5.0,3.254657941870392,-0.10745361633598803,0.10490681085114678,0.09572523358442328,220
400,0,0,DirectFreekick,2018,Everton,Everton xG stats for the 2018/2019 season ,DirectFreekick,17,2,0.953885231167078,13.0,1.0,0.8444303553551435,0.10945487581193447,0.05611089595100459,0.06495618118116489,72
401,1,1,FromCorner,2018,Everton,Everton xG stats for the 2018/2019 season ,FromCorner,55,4,4.114640439860523,40.0,6.0,6.828170243650675,-2.713529803790152,0.07481164436110041,0.17070425609126688,72
402,2,2,OpenPlay,2018,Everton,Everton xG stats for the 2018/2019 season ,OpenPlay,216,25,24.388636822812266,191.0,23.0,23.10764388181269,1.2809929409995675,0.11291035566116785,0.12098242870059,72
403,3,3,Penalty,2018,Everton,Everton xG stats for the 2018/2019 season ,Penalty,4,2,3.044526398181916,4.0,2.0,3.044675350189209,-0.00014895200729370117,0.7611315995454788,0.7611688375473022,72
404,4,4,SetPiece,2018,Everton,Everton xG stats for the 2018/2019 season ,SetPiece,28,3,3.0736586470156912,30.0,4.0,5.2013426162302485,-2.1276839692145586,0.10977352310770323,0.17337808720767495,72
405,5,0,DirectFreekick,2018,Bournemouth,Bournemouth xG stats for the 2018/2019 season ,DirectFreekick,11,0,0.7935153506696224,13.0,0.0,0.8718562982976437,-0.07834094762802124,0.07213775915178386,0.06706586909981874,73
