,Unnamed: 0,Unnamed: 0.1,description,formation,goalsA,goalsF,index,season,shotsA,shotsF,statF,team,timeF,xGA,xGA90,xGD,xGF,xGF90,team_id
33,33,10,Leicester xG stats for the 2014/2015 season ,5-3-2,3.0,4,5-3-2,2014,25.0,21,5-3-2,Leicester,216,3.699501918628812,1.541459132762005,-1.1470548380166292,2.5524470806121826,1.063519616921743,75
34,34,11,Leicester xG stats for the 2014/2015 season ,5-4-1,9.0,5,5-4-1,2014,77.0,55,5-4-1,Leicester,428,11.13505059760064,2.3414826022992004,-5.238579702563584,5.896470895037055,1.2399121040965773,75
35,35,0,West Bromwich Albion xG stats for the 2014/2015 season ,3-4-3,1.0,0,3-4-3,2014,5.0,7,3-4-3,West_Bromwich_Albion,41,0.6468947343528271,1.4200128315062055,0.464753944426775,1.111648678779602,2.440204416833273,76
36,36,1,West Bromwich Albion xG stats for the 2014/2015 season ,4-1-4-1,0.0,0,4-1-4-1,2014,5.0,2,4-1-4-1,West_Bromwich_Albion,35,0.22982168104499576,0.5909700369728463,-0.12631777953356504,0.10350390151143074,0.2661528896008219,76
37,37,2,West Bromwich Albion xG stats for the 2014/2015 season ,4-2-3-1,22.0,20,4-2-3-1,2014,219.0,193,4-2-3-1,West_Bromwich_Albion,1536,24.638643704354767,1.443670529552037,-5.481776126660408,19.15686757769436,1.1224727096305287,76
38,38,3,West Bromwich Albion xG stats for the 2014/2015 season ,4-3-3,5.0,3,4-3-3,2014,37.0,24,4-3-3,West_Bromwich_Albion,173,4.425749456509949,2.3024130120571984,-2.41218525916338,2.013564197346568,1.0475189465964805,76
39,39,4,West Bromwich Albion xG stats for the 2014/2015 season ,4-4-1-1,6.0,5,4-4-1-1,2014,45.0,55,4-4-1-1,West_Bromwich_Albion,435,4.268242756836116,0.8830847083109207,2.60782707342878,6.876069830264896,1.4226351372961854,76
40,40,5,West Bromwich Albion xG stats for the 2014/2015 season ,4-4-2,11.0,8,4-4-2,2014,127.0,106,4-4-2,West_Bromwich_Albion,920,9.169084270484746,0.8969756351561164,-1.0245286105200648,8.144555659964679,0.7967500102139362,76
41,41,6,West Bromwich Albion xG stats for the 2014/2015 season ,4-5-1,4.0,2,4-5-1,2014,103.0,23,4-5-1,West_Bromwich_Albion,382,9.976861977018416,2.350569575737324,-7.214069980196655,2.7627919968217607,0.6509195804030328,76
42,42,7,West Bromwich Albion xG stats for the 2014/2015 season ,5-3-2,2.0,0,5-3-2,2014,3.0,2,5-3-2,West_Bromwich_Albion,18,0.5835624113678932,2.917812056839466,-0.5152294822037221,0.06833292916417122,0.3416646458208561,76
